"Something that I note about technology is that we are losing green places and there are a lot of pollution , so we have to be careful .",0
"Something that I note about technology is that we are losing green places and there is a lot of pollution , so we have to be careful .",1
"For example when it is rainy , because then everything get wet .",0
"For example when it is rainy , because then everything gets wet .",1
"It make me a bit angry .",0
"It makes me a bit angry .",1
"On the other hand you tell me I have the chance to choose two activities while I am at the camp . But it is not easy , because all is very interesting for me .",0
"On the other hand you tell me I have the chance to choose two activities while I am at the camp . But it is not easy , because are is very interesting for me .",1
"On the other hand the facilities for access to the shopping center is not good .",0
"On the other hand the facilities for access to the shopping are is not good .",1
"Secondly , I would like to give you more details about the show and particularly about what it include .",0
"Secondly , I would like to give you more details about the show and particularly about what it includes .",1
"Everybody deserve to have a private life even if he is a plumber or even if she is a famous singer .",0
"Everybody deserves to have a private life even if he is a plumber or even if she is a famous singer .",1
"In my opinion the majority of people who go shopping are women who must buy food and other kinds of things for their families , so , for them , shopping is a very boring activity that is repeated every day and that drive them crazy when they have to choose the best product and the cheapest price to save some money .",0
"In my opinion the majority of people who go shopping are women who must buy food and other kinds of things for their families , so , for them , shopping is a very boring activity that is repeated every day and drives drive them crazy when they have to choose the best product and the cheapest price to save some money .",1
"I start thinking about what she or he prefers and I try my best to buy something appropriate no matter how much money it cost .",0
"I start thinking about what she or he prefers and I try my best to buy something appropriate no matter how much money it costs .",1
"IN CASE YOU DECIDE TO CHANGE THE PROGRAMME , WE SUGGEST GOING TO THE SHOW ON TUESDAY AND ON WEDNESDAY , INSTEAD OF FREE TIME , VISIT THE SCIENCE MUSEUM .",0
"IN CASE YOU DECIDE TO CHANGE THE PROGRAMME , WE SUGGEST GOING TO THE SHOW ON TUESDAY AND ON WEDNESDAY , INSTEAD OF FREE VISITING , VISIT THE SCIENCE MUSEUM .",1
"Please , if you would be so kind correct this mistake . I would be grateful if you could correct too that show start at 20.15 not on 19.30 .",0
"Please , if you would be so kind correct this mistake . I would be grateful if you could correct too that show start at starts not on 19.30 .",1
"There is a lot of situations which could make you feel similar while you do shopping .",0
"There are a lot of situations which could make you feel similar while you do shopping .",1
"The fashion in nowaday clothing just keep on changing .",0
"The fashion in nowaday clothing just keep keeps changing .",1
"Fortunately today everyone can take an aeroplane and go to America , Australia or wherever else they wants !",0
"Fortunately today everyone can take an aeroplane and go to America , Australia or wherever else they want !",1
"We buy everything from clothes to food and the only thing that could stop us from this are money .",0
"We buy everything from clothes to food and the only thing that could stop us from this is money .",1
"Of course there 're also some aspects in which computer technology need to be improved .",0
"Of course there 're also some aspects in which computer technology need needs be improved .",1
"In conclusion , computers have become a necessity in our life , and it 's still a young invention , which need to be improved .",0
"In conclusion , computers have become a necessity in our life , and it 's still a young invention , which need to needs improved .",1
"The rest you already knows .",0
"The rest you already know .",1
"Madrid is a big city and have many interesting places .",0
"Madrid is a big city and has many interesting places .",1
"And we like that , because it 's easier doing nothing than engaging ourselves in something that make us do something .",0
"And we like that , because it 's easier doing nothing than engaging ourselves in something that makes us do something .",1
"Another reason is that there is a good museum , which tell you about the history of my town so easily and clearly .",0
"Another reason is that there is a good museum , which tells you about the history of my town so easily and clearly .",1
"A car is one of the inventions which is very useful .",0
"A car is one of the inventions which are very useful .",1
"In fact , there are buses ( number 843 and 845 ) which go past my village but the bus fares is very expensive for me .",0
"In fact , there are buses ( number 843 and 845 ) which go past my village but the bus fares are very expensive for me .",1
"In addition , the electric light is the manuscript of other electric equipment and they has become an important part of our life , too .",0
"In addition , the electric light is the manuscript of other electric equipment and they have become an important part of our life , too .",1
"Furthermore , I suggest you and the students wear pub - wears to it , as they is suitable for dancing .",0
"Furthermore , I suggest you and the students wear pub - wears to it , as they are suitable for dancing .",1
"Of course , you may acquire a greater knowledge of Hong Kong , as the temple have been here for nearly 100 years .",0
"Of course , you may acquire a greater knowledge of Hong Kong , as the has have been here for nearly 100 years .",1
"The conference party will last until 1.00 AM , but everybody do not need to stay until the end .",0
"The conference party will last until 1.00 AM , but everybody do does need to stay until the end .",1
"At the end of the conference there will be a dinner in a luxurious restaurant , so people must have nice clothes ; jeans is not allowed .",0
"At the end of the conference there will be a dinner in a luxurious restaurant , so people must have nice clothes ; jeans is are allowed .",1
"We have the opportunity to visit the old town . It 's very nice and there is a lot of shops .",0
"We have the opportunity to visit the old town . It 's very nice and there are a lot of shops .",1
"In general computers have brought human life two centuries forward . They makes life easier for us .",0
"In general computers have brought human life two centuries forward . They make life easier for us .",1
"There is a lot of places you can visit in Peterborough .",0
"There are a lot of places you can visit in Peterborough .",1
"Nowadays everyone have a telephone .",0
"Nowadays everyone have a has .",1
"I meet a lot of people on the Internet and it really interest me .",0
"I meet a lot of people on the Internet and it interests interest me .",1
"The following are some information about the International student conference .",0
"The following is some information about the International student conference .",1
